Stock Balance ,KABAC CABLE ACCESSORIES (M) SDN BHD (729374-H),,,,,
,,,,,,
,,,,,,
,,,,,,
Item Code,Item Description,Location,UOM,Bal. Qty,Avg. Cost,Total Cost
,,,,,,
,,,,,,
,,,,,,
BU76360,RAYCHEM SS316 ROLLER BALL UNCOATED TIE 360MM X 7.9MM(100PCS/PKT),HQ,PCS,100.00,0.88,88.00
BV1,1.5mm VINYL INSULATED BUTT CONNECTOR (RED) (100pcs/pack),HQ,PACK,64.00,3.90,249.60
BV2,2.5mm VINYL INSULATED BUTT CONNECTOR (BLUE) (100pcs/pack),HQ,PACK,50.00,5.20,260.00
BV5,5.5mm VINYL INSULATED BUTT CONNECTOR(YELLOW) (100pcs/pack),HQ,PACK,60.00,8.00,480.00
C/S-TG-150-36,DRANGGING CABLE GRIP 37-50 X 1194MM,HQ,PCS,17.00,40.42,687.20
C/S-TG-200-36,DRANGGING CABLE GRIP 50-63 X 1220MM,HQ,PCS,11.00,56.95,626.45
C/S-TG-300-36,DRANGGING CABLE GRIP 75-88 X 1270MM,HQ,PCS,8.00,81.70,653.60
C-1,C-1 NYLON CLOSE END CONNECTOR (100pcs/pkt),HQ,PACK,82.00,1.40,114.80
C-2,C-2 NYLON CLOSE END CONNECTOR (100pcs/pkt),HQ,PACK,71.00,1.40,99.40
C450,1000 ML COMPOUND,HQ,PACK,-3.00,22.88,-68.64
C-5,C-5 NYLON CLOSE END CONNECTOR (100pcs/pkt),HQ,PACK,67.00,3.20,214.40
C5PG,CAT.5E RJ45 PLUG ONLY( 8P8C ),HQ,PCS,"8,220.00",0.13,"1,068.60"
C6KJ,CAT.6 KEYSTONE-JACK MODULE ONLY,HQ,PCS,250.00,2.85,712.50
C6PG,AMP RJ45 CAT.6 PLUG ONLY,HQ,PCS,-4.00,0.70,-2.80
C-8,C-8 NYLON CLOSE END CONNECTOR (100pcs/pkt),HQ,PACK,18.00,4.41,79.38
CADDY-4H 58,CADDY 4H58,HQ,PCS,800.00,2.60,"2,080.00"
CADDY-BC200,CADDY BC200,HQ,PCS,169.00,3.95,667.55
CADDY-CD 1B,CADDY CD1B,HQ,PCS,319.00,1.85,590.15
CADDY-EBC,CADDY EBC,HQ,PCS,"1,600.00",3.30,"5,280.00"
CADDY-K12,CADDY K12 CLIP,HQ,PCS,319.00,1.22,389.18
CADDY-K16,CADDY K16 CLIP,HQ,PCS,"1,491.00",1.32,"1,968.12"
CADDY-K20,CADDY K20 CLIP,HQ,PCS,900.00,2.31,"2,079.00"
CADDY-MC SCREW,"ROFFING HD SLOT M/C SCREWS (ZIP) 1/4"" X 3/8""",HQ,PCS,119.00,0.03,3.15
CADDY-SK 165I,CADDY SK 165I,HQ,PCS,300.00,3.80,"1,140.00"
CADDY-VF146T,CADDY VF146T,HQ,PCS,"2,200.00",3.28,"7,216.00"
CADDY-VF146TI,CADDY VF146TI,HQ,PCS,"2,000.00",5.10,"10,204.00"
CBRG59,COM-BEL RG59 COAXIAL CABLE C/W,HQ,ROLL,1.00,88.00,88.00
CCA-1,35-35 COPPER WIRE CLAMPS,HQ,PCS,157.00,2.40,376.80
CCA-2,50-70 COPPER WIRE CLAMPS,HQ,PCS,96.00,5.82,558.72
CF 12038,"4 "" FAN  MODEL HB12038HA2BL  120 X 120 X 38MM  220V,50HZ",HQ,PCS,280.00,13.40,"3,752.00"
CF 15050,"6"" FAN  MODEL HB15050HA2BL  150 X 150 X 50MM  220V,50HZ",HQ,PCS,240.00,25.40,"6,096.00"
CF 20060,"8"" FAN  MODEL 200FZY2-S(20060HA2BL)  200 X 200 X 60MM  220V,50HZ",HQ,PCS,30.00,47.10,"1,413.00"
CF 22060,"8""  ROUND FAN MODEL HB20060HA2B-W-C  220 X 220 X 60MM  220V,50HZ",HQ,PCS,30.00,47.10,"1,413.00"
CLG1.5-M5,1.5mm - M5 COPPER CABLE LUG (100pcs / pack),HQ,PACK,267.00,7.00,"1,869.00"
CLG10-M6,10mm - M6 COPPER CABLE LUG (100pcs / pack),HQ,PACK,1.24,15.45,19.16
CLG10-M8,10mm - M8 COPPER CABLE LUG (100pcs / pack),HQ,PACK,48.91,15.00,733.65
CLG120-M12,120mm - M12 COPPER CABLE LUG,HQ,PCS,541.00,2.50,"1,352.49"
CLG150-M16,150mm - M16 COPPER CABLE LUG,HQ,PCS,367.00,2.50,917.50
CLG150-M18,150 mm - M18 COPPER CABLE LUG,HQ,PCS,856.00,2.14,"1,831.84"
CLG16-M8,16mm - M8 COPPER CABLE LUG (100pcs / pack),HQ,PACK,96.46,20.15,"1,943.20"
CLG185-M16,185mm - M16 COPPER CABLE LUG,HQ,PCS,275.00,3.96,"1,089.00"
CLG2.5-M6,2.5mm - M6 COPPER CABLE LUG (100pcs / pack),HQ,PACK,111.00,5.00,555.00
CLG25-M12,25mm - M12 COPPER CABLE LUG,HQ,PCS,1.00,0.28,0.28
CLG25-M6,25mm - M6 COPPER CABLE LUG,HQ,PCS,"2,400.00",0.28,672.00
CLG25-M8,25mm - M8 COPPER CABLU LUG (100pcs / pack),HQ,PACK,66.60,27.00,"1,798.20"
CLG300-M16,300mm - M16 COPPER CABLE LUG,HQ,PCS,5.00,8.50,42.50
CLG35-M10,35mm - M10 COPPER CABLE LUG(100pcs/pack),HQ,PACK,46.89,40.00,"1,875.60"
CLG35-M12,35mm - M12 COPPER CABLE LUG,HQ,PCS,141.00,0.41,57.81
CLG400-M16,400mm - M16 COPPER CABLE LUG,HQ,PCS,99.00,13.50,"1,336.50"
CLG400-M20,400mm - M20 COPPER CABLE LUG,HQ,PCS,11.00,13.20,145.20
CLG4-M6,4.0mm - M6 COPPER CABLE LUG (100pcs / pack),HQ,PACK,177.00,10.10,"1,787.70"
CLG500-M20,500mm - M20 COPPER CABLE LUG,HQ,PCS,27.00,20.55,554.85
CLG50-M10,50mm - M10 COPPER CABLU LUG (100pcs / pack),HQ,PACK,19.26,72.00,"1,386.72"
CLG630-M20,630mm - M20 COPPER CABLE LUG,HQ,PCS,15.00,26.15,392.25
